category,n,outcome,mechanisms,incumbent_at_attempt,incumbent_floor,our_best_logged,evidence
hex_in_squ,17,tie-documented,harvest,Maksymilian Jankowski,7.60383,7.603944207,sweep_results.md
hex_in_squ,20,attempted,drop-one (night sweep),Maurizio Morandi,,,night_harvest/do0_*
hex_in_squ,21,tie-documented,drop-one (night sweep); harvest,Jonathan Viquerat,8.381,8.381562920,night_harvest/do0_* | sweep_results.md
hex_in_squ,22,tie-documented,harvest,Jonathan Viquerat,8.568,8.568493084,sweep_results.md
hex_in_squ,23,attempted,drop-one (night sweep),Jonathan Viquerat,,,night_harvest/do0_*
hex_in_squ,24,tie-documented,harvest,Jonathan Viquerat,8.795,8.795460783,sweep_results.md
hex_in_squ,25,attempted,drop-one (night sweep),Jonathan Viquerat,,,night_harvest/do0_*
hex_in_squ,26,tie-documented,drop-one (night sweep); harvest,Bhavithran Ananthan,9.22085,9.220929301,night_harvest/do0_* | sweep_results.md
hex_in_squ,27,tie-documented,harvest,Thomas Greenleaf,9.27734,9.277362310,sweep_results.md
hex_in_tri,7,no-improvement,search (blitz-2),Trivial,8.0,,blitz2_targets.txt (aggregate: 49 ties)
hex_in_tri,9,no-improvement,search (blitz-3),Bhavithran Ananthan,8.64494,,blitz3_targets.txt (aggregate: 0/69 improvements)
hex_in_tri,11,no-improvement,search (blitz-3),Jonathan Viquerat,9.54823,,blitz3_targets.txt (aggregate: 0/69 improvements)
hex_in_tri,12,no-improvement,search (blitz-3),Bhavithran Ananthan,9.96429,,blitz3_targets.txt (aggregate: 0/69 improvements)
oct_in_hex,3,tie-documented,search (blitz-1),Mohamed Metwalli,2.88958,2.889628768,blitz_final.txt | blitz_targets.txt
oct_in_hex,4,tie-documented,search (blitz-1),Mohamed Metwalli,3.27809,3.278145226,blitz_final.txt | blitz_targets.txt
oct_in_hex,5,tie-documented,search (blitz-1),Jonathan Viquerat,3.71848,3.718485364,blitz_final.txt | blitz_targets.txt
oct_in_hex,6,beaten-claimed,drop-one (night sweep); harvest; search (blitz-2),Mohamed Metwalli,3.9496,3.947306302388469,blitz2_targets.txt (aggregate: 49 ties) | ledger: standing | night_harvest/do0_* | sweep_results.md
oct_in_hex,7,tie-documented,drop-one (night sweep); harvest; search (blitz-2),Jonathan Viquerat,3.97716,3.977164636,blitz2_targets.txt (aggregate: 49 ties) | night_harvest/do0_* | sweep_results.md
oct_in_hex,8,tie-documented,drop-one (night sweep); harvest; search (blitz-2),Jonathan Viquerat,4.56653,4.566539504,blitz2_targets.txt (aggregate: 49 ties) | night_harvest/do0_* | sweep_results.md
oct_in_hex,9,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Jonathan Viquerat,4.93304,4.933050877,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
oct_in_hex,10,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Jonathan Viquerat,5.06929,5.069290642,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
oct_in_hex,11,tie-documented,drop-one (night sweep); harvest; search (blitz-3); search (night BH),Bhavithran Ananthan,5.34798,5.348013115,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/bh_* | night_harvest/do0_* | sweep_results.md
oct_in_hex,12,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Jonathan Viquerat,5.38669,5.386697488,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
oct_in_hex,13,tie-documented,drop-one (night sweep); harvest,Jonathan Viquerat,5.7547,5.754703337,night_harvest/do0_* | sweep_results.md
oct_in_hex,14,tie-documented,drop-one (night sweep); harvest,Jonathan Viquerat,5.77752,5.777523024,night_harvest/do0_* | sweep_results.md
oct_in_hex,15,tie-documented,drop-one (night sweep); harvest,Bhavithran Ananthan,6.13744,6.137501856,night_harvest/do0_* | sweep_results.md
oct_in_hex,16,tie-documented,drop-one (night sweep); harvest,Jonathan Viquerat,6.21438,6.214387851,night_harvest/do0_* | sweep_results.md
oct_in_hex,17,tie-documented,drop-one (night sweep); harvest,Jonathan Viquerat,6.35725,6.357269013,night_harvest/do0_* | sweep_results.md
oct_in_hex,18,tie-documented,drop-one (night sweep); harvest; search (night BH),Bhavithran Ananthan,6.43029,6.430292679,CAMPAIGN.md: tie +4.5e-6 above Ananthan floor | night_harvest/bh_* | night_harvest/do0_* | sweep_results.md
oct_in_hex,19,tie-documented,drop-one (night sweep); harvest,Bhavithran Ananthan,6.44696,6.446965538,night_harvest/do0_* | sweep_results.md
oct_in_hex,20,beaten-claimed,harvest,Bhavithran Ananthan,6.99466,6.994504805050101,ledger: re-taken by Leo Strijbos (August 2026) | sweep_results.md
